model,batch_size,sequence_length,result
Longformer_large,4,1,0.0959
Longformer_large,4,2,0.0957
Longformer_large,4,4,0.0957
Longformer_large,4,8,0.0957
Longformer_large,4,16,0.0957
Longformer_large,4,32,0.0955
Longformer_large,4,64,0.0957
Longformer_large,4,128,0.0958
Longformer_large,4,256,0.0963
Longformer_large,4,512,0.0970
Longformer_large,4,1024,0.1926
Longformer_large,4,2048,0.3785
Longformer_large,4,4096,0.7621
Longformer_large,8,1,0.1823
Longformer_large,8,2,0.1824
Longformer_large,8,4,0.1822
Longformer_large,8,8,0.1819
Longformer_large,8,16,0.1820
Longformer_large,8,32,0.1821
Longformer_large,8,64,0.1823
Longformer_large,8,128,0.1825
Longformer_large,8,256,0.1834
Longformer_large,8,512,0.1855
Longformer_large,8,1024,0.3759
Longformer_large,8,2048,0.7536
Longformer_large,8,4096,1.5194
Longformer_large,16,1,0.3571
Longformer_large,16,2,0.3561
Longformer_large,16,4,0.3555
Longformer_large,16,8,0.3552
Longformer_large,16,16,0.3563
Longformer_large,16,32,0.3555
Longformer_large,16,64,0.3569
Longformer_large,16,128,0.3578
Longformer_large,16,256,0.3589
Longformer_large,16,512,0.3633
Longformer_large,16,1024,0.7491
Longformer_large,16,2048,1.5077
Longformer_large,16,4096,3.0616
Longformer_large,32,1,0.7049
Longformer_large,32,2,0.7047
Longformer_large,32,4,0.7036
Longformer_large,32,8,0.7026
Longformer_large,32,16,0.7043
Longformer_large,32,32,0.7047
Longformer_large,32,64,0.7049
Longformer_large,32,128,0.7067
Longformer_large,32,256,0.7106
Longformer_large,32,512,0.7190
Longformer_large,32,1024,1.4903
Longformer_large,32,2048,3.0270
Longformer_large,32,4096,6.1575
Transformer-XL,1,1,0.0120
Transformer-XL,1,2,0.0127
Transformer-XL,1,4,0.0131
Transformer-XL,1,8,0.0138
Transformer-XL,1,16,0.0153
Transformer-XL,1,32,0.0140
Transformer-XL,1,64,0.0153
Transformer-XL,1,128,0.0245
Transformer-XL,1,256,0.0463
Transformer-XL,1,512,0.0938
Transformer-XL,1,1024,0.2142
Transformer-XL,1,2048,0.5691
Transformer-XL,1,4096,1.7100
Transformer-XL,2,1,0.0161
Transformer-XL,2,2,0.0166
Transformer-XL,2,4,0.0169
Transformer-XL,2,8,0.0179
Transformer-XL,2,16,0.0179
Transformer-XL,2,32,0.0193
Transformer-XL,2,64,0.0303
Transformer-XL,2,128,0.0653
Transformer-XL,2,256,0.1266
Transformer-XL,2,512,0.2698
Transformer-XL,2,1024,0.6575
Transformer-XL,2,2048,1.8714
Transformer-XL,2,4096,6.1224
Transformer-XL,4,1,0.0232
Transformer-XL,4,2,0.0238
Transformer-XL,4,4,0.0247
Transformer-XL,4,8,0.0249
Transformer-XL,4,16,0.0284
Transformer-XL,4,32,0.0344
Transformer-XL,4,64,0.0668
Transformer-XL,4,128,0.1242
Transformer-XL,4,256,0.2553
Transformer-XL,4,512,0.6111
Transformer-XL,4,1024,1.8530
Transformer-XL,4,2048,5.5312
Transformer-XL,4,4096,17.8069
Transformer-XL,8,1,0.0519
Transformer-XL,8,2,0.0529
Transformer-XL,8,4,0.0528
Transformer-XL,8,8,0.0593
Transformer-XL,8,16,0.0742
Transformer-XL,8,32,0.0870
Transformer-XL,8,64,0.1517
Transformer-XL,8,128,0.2932
Transformer-XL,8,256,0.6612
Transformer-XL,8,512,1.5922
Transformer-XL,8,1024,4.1301
Transformer-XL,8,2048,11.3082
Transformer-XL,8,4096,N/A
Transformer-XL,16,1,0.0837
Transformer-XL,16,2,0.0835
Transformer-XL,16,4,0.0897
Transformer-XL,16,8,0.1035
Transformer-XL,16,16,0.1193
Transformer-XL,16,32,0.1529
Transformer-XL,16,64,0.3248
Transformer-XL,16,128,0.6938
Transformer-XL,16,256,1.5601
Transformer-XL,16,512,3.7349
Transformer-XL,16,1024,9.2812
Transformer-XL,16,2048,N/A
Transformer-XL,16,4096,N/A
Transformer-XL,32,1,0.1507
Transformer-XL,32,2,0.1562
Transformer-XL,32,4,0.1699
Transformer-XL,32,8,0.1840
Transformer-XL,32,16,0.2167
Transformer-XL,32,32,0.2965
Transformer-XL,32,64,0.9095
Transformer-XL,32,128,1.8206
Transformer-XL,32,256,4.1320
Transformer-XL,32,512,9.4972
Transformer-XL,32,1024,N/A
Transformer-XL,32,2048,N/A
Transformer-XL,32,4096,N/A
