model,batch_size,sequence_length,result
Transformer-XL,32,2,N/A
Transformer-XL,32,4,N/A
Transformer-XL,32,8,N/A
Transformer-XL,32,16,N/A
Transformer-XL,32,32,N/A
Transformer-XL,32,64,N/A
Transformer-XL,32,128,N/A
Transformer-XL,32,256,N/A
Transformer-XL,32,512,N/A
Transformer-XL,32,1024,N/A
Transformer-XL,32,2048,N/A
Transformer-XL,32,4096,N/A
