model,batch_size,sequence_length,result
RoBERTa_base,32,16,0.0265
RoBERTa_base,32,32,0.0360
RoBERTa_base,32,64,0.0652
RoBERTa_base,32,128,0.1363
RoBERTa_base,32,256,0.2785
RoBERTa_base,32,512,0.6142
RoBERTa_large,1,1,0.0385
RoBERTa_large,1,2,0.0406
RoBERTa_large,1,4,0.0398
RoBERTa_large,1,8,0.0398
RoBERTa_large,1,16,0.0404
RoBERTa_large,1,32,0.0397
RoBERTa_large,1,64,0.0395
RoBERTa_large,1,128,0.0401
RoBERTa_large,1,256,0.0395
RoBERTa_large,1,512,0.0500
RoBERTa_large,2,1,0.0377
RoBERTa_large,2,2,0.0405
RoBERTa_large,2,4,0.0422
RoBERTa_large,2,8,0.0405
RoBERTa_large,2,16,0.0400
RoBERTa_large,2,32,0.0413
RoBERTa_large,2,64,0.0415
RoBERTa_large,2,128,0.0402
RoBERTa_large,2,256,0.0458
RoBERTa_large,2,512,0.0886
RoBERTa_large,4,1,0.0381
RoBERTa_large,4,2,0.0404
RoBERTa_large,4,4,0.0406
RoBERTa_large,4,8,0.0404
RoBERTa_large,4,16,0.0415
RoBERTa_large,4,32,0.0412
RoBERTa_large,4,64,0.0401
RoBERTa_large,4,128,0.0430
RoBERTa_large,4,256,0.0790
RoBERTa_large,4,512,0.1636
RoBERTa_large,8,1,0.0379
RoBERTa_large,8,2,0.0404
RoBERTa_large,8,4,0.0415
RoBERTa_large,8,8,0.0414
RoBERTa_large,8,16,0.0421
RoBERTa_large,8,32,0.0416
RoBERTa_large,8,64,0.0420
RoBERTa_large,8,128,0.0735
RoBERTa_large,8,256,0.1463
RoBERTa_large,8,512,0.3244
RoBERTa_large,16,1,0.0390
RoBERTa_large,16,2,0.0407
RoBERTa_large,16,4,0.0418
RoBERTa_large,16,8,0.0386
RoBERTa_large,16,16,0.0417
RoBERTa_large,16,32,0.0420
RoBERTa_large,16,64,0.0710
RoBERTa_large,16,128,0.1375
RoBERTa_large,16,256,0.2862
RoBERTa_large,16,512,0.6394
RoBERTa_large,32,1,0.0384
RoBERTa_large,32,2,0.0416
RoBERTa_large,32,4,0.0408
RoBERTa_large,32,8,0.0406
RoBERTa_large,32,16,0.0440
RoBERTa_large,32,32,0.0706
RoBERTa_large,32,64,0.1320
RoBERTa_large,32,128,0.2682
RoBERTa_large,32,256,0.5633
RoBERTa_large,32,512,1.2683
dist_bert,1,1,0.0126
dist_bert,1,2,0.0137
dist_bert,1,4,0.0154
dist_bert,1,8,0.0141
dist_bert,1,16,0.0160
dist_bert,1,32,0.0160
dist_bert,1,64,0.0137
dist_bert,1,128,0.0154
dist_bert,1,256,0.0158
dist_bert,1,512,0.0163
dist_bert,2,1,0.0156
dist_bert,2,2,0.0163
dist_bert,2,4,0.0139
dist_bert,2,8,0.0165
dist_bert,2,16,0.0145
dist_bert,2,32,0.0145
dist_bert,2,64,0.0157
dist_bert,2,128,0.0143
dist_bert,2,256,0.0171
dist_bert,2,512,0.0230
dist_bert,4,1,0.0154
dist_bert,4,2,0.0168
dist_bert,4,4,0.0157
dist_bert,4,8,0.0164
dist_bert,4,16,0.0163
dist_bert,4,32,0.0142
dist_bert,4,64,0.0165
dist_bert,4,128,0.0171
dist_bert,4,256,0.0211
dist_bert,4,512,0.0413
dist_bert,8,1,0.0155
dist_bert,8,2,0.0165
dist_bert,8,4,0.0165
dist_bert,8,8,0.0167
dist_bert,8,16,0.0165
dist_bert,8,32,0.0155
dist_bert,8,64,0.0144
dist_bert,8,128,0.0205
dist_bert,8,256,0.0381
dist_bert,8,512,0.0883
dist_bert,16,1,0.0133
dist_bert,16,2,0.0140
dist_bert,16,4,0.0160
dist_bert,16,8,0.0144
dist_bert,16,16,0.0135
dist_bert,16,32,0.0146
dist_bert,16,64,0.0199
dist_bert,16,128,0.0364
dist_bert,16,256,0.0814
dist_bert,16,512,0.1712
dist_bert,32,1,0.0152
dist_bert,32,2,0.0139
dist_bert,32,4,0.0138
dist_bert,32,8,0.0141
dist_bert,32,16,0.0141
dist_bert,32,32,0.0196
dist_bert,32,64,0.0362
dist_bert,32,128,0.0773
dist_bert,32,256,0.1567
dist_bert,32,512,0.3386
MiniLM,1,1,0.0247
MiniLM,1,2,0.0249
MiniLM,1,4,0.0269
MiniLM,1,8,0.0250
MiniLM,1,16,0.0267
MiniLM,1,32,0.0249
MiniLM,1,64,0.0249
MiniLM,1,128,0.0268
MiniLM,1,256,0.0276
MiniLM,1,512,0.0274
MiniLM,2,1,0.0277
MiniLM,2,2,0.0292
MiniLM,2,4,0.0261
MiniLM,2,8,0.0250
MiniLM,2,16,0.0258
MiniLM,2,32,0.0252
MiniLM,2,64,0.0253
MiniLM,2,128,0.0253
MiniLM,2,256,0.0256
MiniLM,2,512,0.0260
MiniLM,4,1,0.0241
MiniLM,4,2,0.0246
MiniLM,4,4,0.0259
MiniLM,4,8,0.0254
MiniLM,4,16,0.0250
MiniLM,4,32,0.0256
MiniLM,4,64,0.0246
MiniLM,4,128,0.0253
MiniLM,4,256,0.0259
MiniLM,4,512,0.0396
MiniLM,8,1,0.0237
MiniLM,8,2,0.0251
MiniLM,8,4,0.0250
MiniLM,8,8,0.0253
MiniLM,8,16,0.0250
MiniLM,8,32,0.0246
MiniLM,8,64,0.0251
MiniLM,8,128,0.0254
MiniLM,8,256,0.0328
MiniLM,8,512,0.0786
MiniLM,16,1,0.0246
MiniLM,16,2,0.0257
MiniLM,16,4,0.0249
MiniLM,16,8,0.0256
MiniLM,16,16,0.0247
MiniLM,16,32,0.0253
MiniLM,16,64,0.0259
MiniLM,16,128,0.0294
MiniLM,16,256,0.0644
MiniLM,16,512,0.1512
MiniLM,32,1,0.0242
MiniLM,32,2,0.0254
MiniLM,32,4,0.0249
MiniLM,32,8,0.0250
MiniLM,32,16,0.0255
MiniLM,32,32,0.0258
MiniLM,32,64,0.0273
MiniLM,32,128,0.0591
MiniLM,32,256,0.1230
MiniLM,32,512,0.2962
MiniLM_multilingual,1,1,0.0233
MiniLM_multilingual,1,2,0.0249
MiniLM_multilingual,1,4,0.0248
MiniLM_multilingual,1,8,0.0248
MiniLM_multilingual,1,16,0.0245
MiniLM_multilingual,1,32,0.0249
MiniLM_multilingual,1,64,0.0247
MiniLM_multilingual,1,128,0.0250
MiniLM_multilingual,1,256,0.0236
MiniLM_multilingual,1,512,0.0373
MiniLM_multilingual,2,1,0.0235
MiniLM_multilingual,2,2,0.0252
MiniLM_multilingual,2,4,0.0253
MiniLM_multilingual,2,8,0.0249
MiniLM_multilingual,2,16,0.0252
MiniLM_multilingual,2,32,0.0256
MiniLM_multilingual,2,64,0.0255
MiniLM_multilingual,2,128,0.0247
MiniLM_multilingual,2,256,0.0357
MiniLM_multilingual,2,512,0.0650
MiniLM_multilingual,4,1,0.0239
MiniLM_multilingual,4,2,0.0257
MiniLM_multilingual,4,4,0.0254
MiniLM_multilingual,4,8,0.0254
MiniLM_multilingual,4,16,0.0255
MiniLM_multilingual,4,32,0.0252
MiniLM_multilingual,4,64,0.0249
MiniLM_multilingual,4,128,0.0348
MiniLM_multilingual,4,256,0.0631
MiniLM_multilingual,4,512,0.1379
MiniLM_multilingual,8,1,0.0237
MiniLM_multilingual,8,2,0.0246
MiniLM_multilingual,8,4,0.0253
MiniLM_multilingual,8,8,0.0253
MiniLM_multilingual,8,16,0.0253
MiniLM_multilingual,8,32,0.0242
MiniLM_multilingual,8,64,0.0347
MiniLM_multilingual,8,128,0.0621
MiniLM_multilingual,8,256,0.1321
MiniLM_multilingual,8,512,0.2724
MiniLM_multilingual,16,1,0.0238
MiniLM_multilingual,16,2,0.0252
MiniLM_multilingual,16,4,0.0253
MiniLM_multilingual,16,8,0.0251
MiniLM_multilingual,16,16,0.0245
MiniLM_multilingual,16,32,0.0344
MiniLM_multilingual,16,64,0.0606
MiniLM_multilingual,16,128,0.1297
MiniLM_multilingual,16,256,0.2608
MiniLM_multilingual,16,512,0.5387
MiniLM_multilingual,32,1,0.0237
MiniLM_multilingual,32,2,0.0252
MiniLM_multilingual,32,4,0.0250
MiniLM_multilingual,32,8,0.0250
MiniLM_multilingual,32,16,0.0349
MiniLM_multilingual,32,32,0.0604
MiniLM_multilingual,32,64,0.1266
MiniLM_multilingual,32,128,0.2534
MiniLM_multilingual,32,256,0.5103
MiniLM_multilingual,32,512,N/A
mBERT_cased,1,1,0.0237
mBERT_cased,1,2,0.0245
mBERT_cased,1,4,0.0246
mBERT_cased,1,8,0.0245
mBERT_cased,1,16,0.0252
mBERT_cased,1,32,0.0246
mBERT_cased,1,64,0.0252
mBERT_cased,1,128,0.0245
mBERT_cased,1,256,0.0244
mBERT_cased,1,512,0.0385
mBERT_cased,2,1,0.0243
mBERT_cased,2,2,0.0256
mBERT_cased,2,4,0.0257
mBERT_cased,2,8,0.0257
mBERT_cased,2,16,0.0257
mBERT_cased,2,32,0.0257
mBERT_cased,2,64,0.0256
mBERT_cased,2,128,0.0251
mBERT_cased,2,256,0.0366
mBERT_cased,2,512,0.0670
mBERT_cased,4,1,0.0243
mBERT_cased,4,2,0.0255
mBERT_cased,4,4,0.0256
mBERT_cased,4,8,0.0253
mBERT_cased,4,16,0.0258
mBERT_cased,4,32,0.0252
mBERT_cased,4,64,0.0258
mBERT_cased,4,128,0.0357
mBERT_cased,4,256,0.0635
mBERT_cased,4,512,0.1246
mBERT_cased,8,1,0.0239
mBERT_cased,8,2,0.0248
mBERT_cased,8,4,0.0251
mBERT_cased,8,8,0.0256
mBERT_cased,8,16,0.0260
mBERT_cased,8,32,0.0256
mBERT_cased,8,64,0.0354
mBERT_cased,8,128,0.0611
mBERT_cased,8,256,0.1166
mBERT_cased,8,512,0.2619
mBERT_cased,16,1,0.0237
mBERT_cased,16,2,0.0247
mBERT_cased,16,4,0.0253
mBERT_cased,16,8,0.0255
mBERT_cased,16,16,0.0253
mBERT_cased,16,32,0.0356
mBERT_cased,16,64,0.0585
mBERT_cased,16,128,0.1160
mBERT_cased,16,256,0.2472
mBERT_cased,16,512,0.5150
mBERT_cased,32,1,0.0244
mBERT_cased,32,2,0.0252
mBERT_cased,32,4,0.0256
mBERT_cased,32,8,0.0254
mBERT_cased,32,16,0.0365
mBERT_cased,32,32,0.0586
mBERT_cased,32,64,0.1115
mBERT_cased,32,128,0.2411
mBERT_cased,32,256,0.4861
