model,batch_size,sequence_length,result
RoBERTa_base,32,16,0.0118
RoBERTa_base,32,32,0.0208
RoBERTa_base,32,64,0.0401
RoBERTa_base,32,128,0.0744
RoBERTa_base,32,256,0.1557
RoBERTa_base,32,512,0.3285
RoBERTa_large,1,1,0.0110
RoBERTa_large,1,2,0.0123
RoBERTa_large,1,4,0.0125
RoBERTa_large,1,8,0.0133
RoBERTa_large,1,16,0.0131
RoBERTa_large,1,32,0.0137
RoBERTa_large,1,64,0.0136
RoBERTa_large,1,128,0.0135
RoBERTa_large,1,256,0.0202
RoBERTa_large,1,512,0.0387
RoBERTa_large,2,1,0.0119
RoBERTa_large,2,2,0.0132
RoBERTa_large,2,4,0.0140
RoBERTa_large,2,8,0.0140
RoBERTa_large,2,16,0.0139
RoBERTa_large,2,32,0.0141
RoBERTa_large,2,64,0.0143
RoBERTa_large,2,128,0.0205
RoBERTa_large,2,256,0.0363
RoBERTa_large,2,512,0.0739
RoBERTa_large,4,1,0.0119
RoBERTa_large,4,2,0.0140
RoBERTa_large,4,4,0.0138
RoBERTa_large,4,8,0.0141
RoBERTa_large,4,16,0.0142
RoBERTa_large,4,32,0.0144
RoBERTa_large,4,64,0.0196
RoBERTa_large,4,128,0.0355
RoBERTa_large,4,256,0.0686
RoBERTa_large,4,512,0.1390
RoBERTa_large,8,1,0.0131
RoBERTa_large,8,2,0.0138
RoBERTa_large,8,4,0.0139
RoBERTa_large,8,8,0.0139
RoBERTa_large,8,16,0.0140
RoBERTa_large,8,32,0.0197
RoBERTa_large,8,64,0.0350
RoBERTa_large,8,128,0.0656
RoBERTa_large,8,256,0.1288
RoBERTa_large,8,512,0.2736
RoBERTa_large,16,1,0.0127
RoBERTa_large,16,2,0.0140
RoBERTa_large,16,4,0.0142
RoBERTa_large,16,8,0.0141
RoBERTa_large,16,16,0.0193
RoBERTa_large,16,32,0.0342
RoBERTa_large,16,64,0.0642
RoBERTa_large,16,128,0.1222
RoBERTa_large,16,256,0.2521
RoBERTa_large,16,512,0.5447
RoBERTa_large,32,1,0.0127
RoBERTa_large,32,2,0.0141
RoBERTa_large,32,4,0.0142
RoBERTa_large,32,8,0.0194
RoBERTa_large,32,16,0.0336
RoBERTa_large,32,32,0.0659
RoBERTa_large,32,64,0.1200
RoBERTa_large,32,128,0.2414
RoBERTa_large,32,256,0.4994
RoBERTa_large,32,512,1.0727
dist_bert,1,1,0.0030
dist_bert,1,2,0.0032
dist_bert,1,4,0.0032
dist_bert,1,8,0.0035
dist_bert,1,16,0.0034
dist_bert,1,32,0.0036
dist_bert,1,64,0.0037
dist_bert,1,128,0.0036
dist_bert,1,256,0.0041
dist_bert,1,512,0.0049
dist_bert,2,1,0.0031
dist_bert,2,2,0.0034
dist_bert,2,4,0.0035
dist_bert,2,8,0.0036
dist_bert,2,16,0.0037
dist_bert,2,32,0.0039
dist_bert,2,64,0.0038
dist_bert,2,128,0.0042
dist_bert,2,256,0.0052
dist_bert,2,512,0.0097
dist_bert,4,1,0.0031
dist_bert,4,2,0.0035
dist_bert,4,4,0.0035
dist_bert,4,8,0.0037
dist_bert,4,16,0.0038
dist_bert,4,32,0.0038
dist_bert,4,64,0.0040
dist_bert,4,128,0.0050
dist_bert,4,256,0.0091
dist_bert,4,512,0.0162
dist_bert,8,1,0.0032
dist_bert,8,2,0.0035
dist_bert,8,4,0.0037
dist_bert,8,8,0.0037
dist_bert,8,16,0.0038
dist_bert,8,32,0.0041
dist_bert,8,64,0.0049
dist_bert,8,128,0.0088
dist_bert,8,256,0.0151
dist_bert,8,512,0.0283
dist_bert,16,1,0.0032
dist_bert,16,2,0.0037
dist_bert,16,4,0.0038
dist_bert,16,8,0.0038
dist_bert,16,16,0.0039
dist_bert,16,32,0.0049
dist_bert,16,64,0.0086
dist_bert,16,128,0.0144
dist_bert,16,256,0.0267
dist_bert,16,512,0.0565
dist_bert,32,1,0.0035
dist_bert,32,2,0.0038
dist_bert,32,4,0.0037
dist_bert,32,8,0.0040
dist_bert,32,16,0.0049
dist_bert,32,32,0.0086
dist_bert,32,64,0.0142
dist_bert,32,128,0.0255
dist_bert,32,256,0.0518
dist_bert,32,512,0.1055
MiniLM,1,1,0.0053
MiniLM,1,2,0.0055
MiniLM,1,4,0.0059
MiniLM,1,8,0.0059
MiniLM,1,16,0.0062
MiniLM,1,32,0.0067
MiniLM,1,64,0.0068
MiniLM,1,128,0.0070
MiniLM,1,256,0.0067
MiniLM,1,512,0.0075
MiniLM,2,1,0.0053
MiniLM,2,2,0.0062
MiniLM,2,4,0.0063
MiniLM,2,8,0.0066
MiniLM,2,16,0.0069
MiniLM,2,32,0.0070
MiniLM,2,64,0.0073
MiniLM,2,128,0.0071
MiniLM,2,256,0.0071
MiniLM,2,512,0.0102
MiniLM,4,1,0.0056
MiniLM,4,2,0.0062
MiniLM,4,4,0.0066
MiniLM,4,8,0.0070
MiniLM,4,16,0.0070
MiniLM,4,32,0.0073
MiniLM,4,64,0.0072
MiniLM,4,128,0.0073
MiniLM,4,256,0.0083
MiniLM,4,512,0.0189
MiniLM,8,1,0.0057
MiniLM,8,2,0.0065
MiniLM,8,4,0.0069
MiniLM,8,8,0.0069
MiniLM,8,16,0.0072
MiniLM,8,32,0.0071
MiniLM,8,64,0.0073
MiniLM,8,128,0.0074
MiniLM,8,256,0.0151
MiniLM,8,512,0.0326
MiniLM,16,1,0.0060
MiniLM,16,2,0.0069
MiniLM,16,4,0.0071
MiniLM,16,8,0.0072
MiniLM,16,16,0.0070
MiniLM,16,32,0.0073
MiniLM,16,64,0.0073
MiniLM,16,128,0.0131
MiniLM,16,256,0.0260
MiniLM,16,512,0.0615
MiniLM,32,1,0.0065
MiniLM,32,2,0.0071
MiniLM,32,4,0.0072
MiniLM,32,8,0.0069
MiniLM,32,16,0.0072
MiniLM,32,32,0.0073
MiniLM,32,64,0.0121
MiniLM,32,128,0.0228
MiniLM,32,256,0.0481
MiniLM,32,512,0.1189
MiniLM_multilingual,1,1,0.0052
MiniLM_multilingual,1,2,0.0055
MiniLM_multilingual,1,4,0.0059
MiniLM_multilingual,1,8,0.0059
MiniLM_multilingual,1,16,0.0061
MiniLM_multilingual,1,32,0.0067
MiniLM_multilingual,1,64,0.0067
MiniLM_multilingual,1,128,0.0068
MiniLM_multilingual,1,256,0.0067
MiniLM_multilingual,1,512,0.0074
MiniLM_multilingual,2,1,0.0053
MiniLM_multilingual,2,2,0.0063
MiniLM_multilingual,2,4,0.0062
MiniLM_multilingual,2,8,0.0066
MiniLM_multilingual,2,16,0.0070
MiniLM_multilingual,2,32,0.0072
MiniLM_multilingual,2,64,0.0073
MiniLM_multilingual,2,128,0.0086
MiniLM_multilingual,2,256,0.0072
MiniLM_multilingual,2,512,0.0102
MiniLM_multilingual,4,1,0.0070
MiniLM_multilingual,4,2,0.0063
MiniLM_multilingual,4,4,0.0066
MiniLM_multilingual,4,8,0.0070
MiniLM_multilingual,4,16,0.0071
MiniLM_multilingual,4,32,0.0088
MiniLM_multilingual,4,64,0.0071
MiniLM_multilingual,4,128,0.0073
MiniLM_multilingual,4,256,0.0088
MiniLM_multilingual,4,512,0.0181
MiniLM_multilingual,8,1,0.0058
MiniLM_multilingual,8,2,0.0080
MiniLM_multilingual,8,4,0.0071
MiniLM_multilingual,8,8,0.0070
MiniLM_multilingual,8,16,0.0087
MiniLM_multilingual,8,32,0.0070
MiniLM_multilingual,8,64,0.0073
MiniLM_multilingual,8,128,0.0074
MiniLM_multilingual,8,256,0.0151
MiniLM_multilingual,8,512,0.0316
MiniLM_multilingual,16,1,0.0059
MiniLM_multilingual,16,2,0.0069
MiniLM_multilingual,16,4,0.0070
MiniLM_multilingual,16,8,0.0071
MiniLM_multilingual,16,16,0.0070
MiniLM_multilingual,16,32,0.0072
MiniLM_multilingual,16,64,0.0071
MiniLM_multilingual,16,128,0.0131
MiniLM_multilingual,16,256,0.0253
MiniLM_multilingual,16,512,0.0607
MiniLM_multilingual,32,1,0.0063
MiniLM_multilingual,32,2,0.0069
MiniLM_multilingual,32,4,0.0072
MiniLM_multilingual,32,8,0.0069
MiniLM_multilingual,32,16,0.0071
MiniLM_multilingual,32,32,0.0071
MiniLM_multilingual,32,64,0.0121
MiniLM_multilingual,32,128,0.0222
MiniLM_multilingual,32,256,0.0474
MiniLM_multilingual,32,512,0.1184
mBERT_cased,1,1,0.0056
mBERT_cased,1,2,0.0059
mBERT_cased,1,4,0.0060
mBERT_cased,1,8,0.0064
mBERT_cased,1,16,0.0063
mBERT_cased,1,32,0.0070
mBERT_cased,1,64,0.0070
mBERT_cased,1,128,0.0069
mBERT_cased,1,256,0.0096
mBERT_cased,1,512,0.0173
mBERT_cased,2,1,0.0058
mBERT_cased,2,2,0.0065
mBERT_cased,2,4,0.0068
mBERT_cased,2,8,0.0068
mBERT_cased,2,16,0.0071
mBERT_cased,2,32,0.0074
mBERT_cased,2,64,0.0071
mBERT_cased,2,128,0.0098
mBERT_cased,2,256,0.0167
mBERT_cased,2,512,0.0314
mBERT_cased,4,1,0.0060
mBERT_cased,4,2,0.0069
mBERT_cased,4,4,0.0067
mBERT_cased,4,8,0.0070
mBERT_cased,4,16,0.0073
mBERT_cased,4,32,0.0073
mBERT_cased,4,64,0.0096
mBERT_cased,4,128,0.0160
mBERT_cased,4,256,0.0292
mBERT_cased,4,512,0.0584
mBERT_cased,8,1,0.0063
mBERT_cased,8,2,0.0068
mBERT_cased,8,4,0.0072
mBERT_cased,8,8,0.0073
mBERT_cased,8,16,0.0070
mBERT_cased,8,32,0.0096
mBERT_cased,8,64,0.0157
mBERT_cased,8,128,0.0289
mBERT_cased,8,256,0.0553
mBERT_cased,8,512,0.1115
mBERT_cased,16,1,0.0063
mBERT_cased,16,2,0.0071
mBERT_cased,16,4,0.0073
mBERT_cased,16,8,0.0071
mBERT_cased,16,16,0.0095
mBERT_cased,16,32,0.0157
mBERT_cased,16,64,0.0279
mBERT_cased,16,128,0.0532
mBERT_cased,16,256,0.1042
mBERT_cased,16,512,0.2204
mBERT_cased,32,1,0.0067
mBERT_cased,32,2,0.0071
mBERT_cased,32,4,0.0072
mBERT_cased,32,8,0.0094
mBERT_cased,32,16,0.0156
mBERT_cased,32,32,0.0277
mBERT_cased,32,64,0.0519
mBERT_cased,32,128,0.1004
mBERT_cased,32,256,0.2055
mBERT_cased,32,512,0.4316
XLM-R_base,1,1,0.0058
XLM-R_base,1,2,0.0061
XLM-R_base,1,4,0.0063
XLM-R_base,1,8,0.0066
XLM-R_base,1,16,0.0066
XLM-R_base,1,32,0.0071
XLM-R_base,1,64,0.0077
XLM-R_base,1,128,0.0081
XLM-R_base,1,256,0.0130
XLM-R_base,1,512,0.0236
XLM-R_base,2,1,0.0059
XLM-R_base,2,2,0.0065
XLM-R_base,2,4,0.0070
XLM-R_base,2,8,0.0068
XLM-R_base,2,16,0.0072
XLM-R_base,2,32,0.0080
XLM-R_base,2,64,0.0083
XLM-R_base,2,128,0.0131
XLM-R_base,2,256,0.0230
XLM-R_base,2,512,0.0435
XLM-R_base,4,1,0.0061
XLM-R_base,4,2,0.0068
XLM-R_base,4,4,0.0069
XLM-R_base,4,8,0.0073
XLM-R_base,4,16,0.0079
XLM-R_base,4,32,0.0083
XLM-R_base,4,64,0.0130
XLM-R_base,4,128,0.0224
XLM-R_base,4,256,0.0416
XLM-R_base,4,512,0.0832
XLM-R_base,8,1,0.0064
XLM-R_base,8,2,0.0068
XLM-R_base,8,4,0.0073
XLM-R_base,8,8,0.0078
XLM-R_base,8,16,0.0082
XLM-R_base,8,32,0.0130
XLM-R_base,8,64,0.0223
XLM-R_base,8,128,0.0410
XLM-R_base,8,256,0.0790
XLM-R_base,8,512,0.1606
XLM-R_base,16,1,0.0063
XLM-R_base,16,2,0.0073
XLM-R_base,16,4,0.0080
XLM-R_base,16,8,0.0082
XLM-R_base,16,16,0.0129
XLM-R_base,16,32,0.0223
XLM-R_base,16,64,0.0401
XLM-R_base,16,128,0.0772
XLM-R_base,16,256,0.1528
XLM-R_base,16,512,0.3185
XLM-R_base,32,1,0.0066
XLM-R_base,32,2,0.0079
XLM-R_base,32,4,0.0082
XLM-R_base,32,8,0.0129
XLM-R_base,32,16,0.0221
XLM-R_base,32,32,0.0401
XLM-R_base,32,64,0.0765
XLM-R_base,32,128,0.1495
XLM-R_base,32,256,0.3038
XLM-R_base,32,512,0.6318
XLM-R_large,1,1,0.0110
XLM-R_large,1,2,0.0124
XLM-R_large,1,4,0.0125
XLM-R_large,1,8,0.0135
XLM-R_large,1,16,0.0130
XLM-R_large,1,32,0.0134
XLM-R_large,1,64,0.0135
XLM-R_large,1,128,0.0167
XLM-R_large,1,256,0.0264
XLM-R_large,1,512,0.0528
XLM-R_large,2,1,0.0120
XLM-R_large,2,2,0.0129
XLM-R_large,2,4,0.0141
XLM-R_large,2,8,0.0139
XLM-R_large,2,16,0.0138
XLM-R_large,2,32,0.0141
XLM-R_large,2,64,0.0166
XLM-R_large,2,128,0.0282
XLM-R_large,2,256,0.0499
XLM-R_large,2,512,0.1029
XLM-R_large,4,1,0.0120
XLM-R_large,4,2,0.0139
XLM-R_large,4,4,0.0139
XLM-R_large,4,8,0.0137
XLM-R_large,4,16,0.0137
XLM-R_large,4,32,0.0166
XLM-R_large,4,64,0.0278
XLM-R_large,4,128,0.0486
XLM-R_large,4,256,0.0967
XLM-R_large,4,512,0.1937
XLM-R_large,8,1,0.0130
XLM-R_large,8,2,0.0139
XLM-R_large,8,4,0.0140
XLM-R_large,8,8,0.0140
XLM-R_large,8,16,0.0165
XLM-R_large,8,32,0.0275
XLM-R_large,8,64,0.0482
XLM-R_large,8,128,0.0940
XLM-R_large,8,256,0.1825
XLM-R_large,8,512,0.3814
XLM-R_large,16,1,0.0128
XLM-R_large,16,2,0.0140
XLM-R_large,16,4,0.0137
XLM-R_large,16,8,0.0165
XLM-R_large,16,16,0.0265
XLM-R_large,16,32,0.0487
XLM-R_large,16,64,0.0923
XLM-R_large,16,128,0.1762
XLM-R_large,16,256,0.3602
XLM-R_large,16,512,0.7628
XLM-R_large,32,1,0.0126
XLM-R_large,32,2,0.0137
XLM-R_large,32,4,0.0163
XLM-R_large,32,8,0.0272
XLM-R_large,32,16,0.0479
XLM-R_large,32,32,0.0921
XLM-R_large,32,64,0.1738
XLM-R_large,32,128,0.3490
XLM-R_large,32,256,0.7175
XLM-R_large,32,512,1.5218
GPT-2,1,1,0.0068
GPT-2,1,2,0.0063
GPT-2,1,4,0.0065
GPT-2,1,8,0.0065
GPT-2,1,16,0.0066
GPT-2,1,32,0.0068
GPT-2,1,64,0.0066
GPT-2,1,128,0.0068
GPT-2,1,256,0.0075
GPT-2,1,512,0.0143
GPT-2,2,1,0.0066
GPT-2,2,2,0.0068
GPT-2,2,4,0.0069
GPT-2,2,8,0.0070
GPT-2,2,16,0.0069
GPT-2,2,32,0.0070
GPT-2,2,64,0.0071
GPT-2,2,128,0.0078
GPT-2,2,256,0.0136
GPT-2,2,512,0.0270
GPT-2,4,1,0.0067
GPT-2,4,2,0.0070
GPT-2,4,4,0.0070
GPT-2,4,8,0.0070
GPT-2,4,16,0.0068
GPT-2,4,32,0.0071
GPT-2,4,64,0.0076
GPT-2,4,128,0.0129
GPT-2,4,256,0.0251
GPT-2,4,512,0.0478
GPT-2,8,1,0.0068
GPT-2,8,2,0.0069
GPT-2,8,4,0.0069
GPT-2,8,8,0.0068
GPT-2,8,16,0.0069
GPT-2,8,32,0.0076
GPT-2,8,64,0.0122
GPT-2,8,128,0.0241
GPT-2,8,256,0.0444
GPT-2,8,512,0.0941
GPT-2,16,1,0.0068
GPT-2,16,2,0.0070
GPT-2,16,4,0.0069
GPT-2,16,8,0.0071
GPT-2,16,16,0.0077
GPT-2,16,32,0.0125
GPT-2,16,64,0.0218
GPT-2,16,128,0.0439
GPT-2,16,256,0.0853
GPT-2,16,512,0.1826
GPT-2,32,1,0.0069
GPT-2,32,2,0.0069
GPT-2,32,4,0.0070
GPT-2,32,8,0.0077
GPT-2,32,16,0.0125
GPT-2,32,32,0.0225
GPT-2,32,64,0.0413
GPT-2,32,128,0.0818
GPT-2,32,256,0.1676
GPT-2,32,512,0.3614
BART_large,1,1,0.0104
BART_large,1,2,0.0134
BART_large,1,4,0.0133
BART_large,1,8,0.0146
BART_large,1,16,0.0144
BART_large,1,32,0.0148
BART_large,1,64,0.0150
BART_large,1,128,0.0151
