model,batch_size,sequence_length,result
Longformer_large,8,2048,5934
Longformer_large,8,4096,9072
Longformer_large,16,1,4658
Longformer_large,16,2,4658
Longformer_large,16,4,4658
Longformer_large,16,8,4658
Longformer_large,16,16,4658
Longformer_large,16,32,4658
Longformer_large,16,64,4658
Longformer_large,16,128,4658
Longformer_large,16,256,4658
Longformer_large,16,512,4658
Longformer_large,16,1024,6416
Longformer_large,16,2048,8784
Longformer_large,16,4096,15064
Longformer_large,32,1,6226
Longformer_large,32,2,6226
Longformer_large,32,4,6226
Longformer_large,32,8,6226
Longformer_large,32,16,6226
Longformer_large,32,32,6226
Longformer_large,32,64,6226
Longformer_large,32,128,6226
Longformer_large,32,256,6226
Longformer_large,32,512,6226
Longformer_large,32,1024,9748
Longformer_large,32,2048,14488
Longformer_large,32,4096,27048
Transformer-XL,1,1,2828
Transformer-XL,1,2,2828
Transformer-XL,1,4,2828
Transformer-XL,1,8,2832
Transformer-XL,1,16,2828
Transformer-XL,1,32,2864
Transformer-XL,1,64,3020
Transformer-XL,1,128,3278
Transformer-XL,1,256,3728
Transformer-XL,1,512,4812
Transformer-XL,1,1024,6910
Transformer-XL,1,2048,11952
Transformer-XL,1,4096,23276
Transformer-XL,2,1,3094
Transformer-XL,2,2,3094
Transformer-XL,2,4,3096
Transformer-XL,2,8,3118
Transformer-XL,2,16,3190
Transformer-XL,2,32,3312
Transformer-XL,2,64,3512
Transformer-XL,2,128,4018
Transformer-XL,2,256,5006
Transformer-XL,2,512,7030
Transformer-XL,2,1024,11280
Transformer-XL,2,2048,21270
Transformer-XL,2,4096,43802
Transformer-XL,4,1,3542
Transformer-XL,4,2,3544
Transformer-XL,4,4,3542
Transformer-XL,4,8,3578
Transformer-XL,4,16,3734
Transformer-XL,4,32,3988
Transformer-XL,4,64,4372
Transformer-XL,4,128,5424
Transformer-XL,4,256,7382
Transformer-XL,4,512,11320
Transformer-XL,4,1024,19972
Transformer-XL,4,2048,39906
Transformer-XL,4,4096,N/A
Transformer-XL,8,1,4442
Transformer-XL,8,2,4440
Transformer-XL,8,4,4442
Transformer-XL,8,8,4512
Transformer-XL,8,16,4822
Transformer-XL,8,32,5346
Transformer-XL,8,64,6098
Transformer-XL,8,128,8180
Transformer-XL,8,256,11998
Transformer-XL,8,512,20084
Transformer-XL,8,1024,37356
Transformer-XL,8,2048,N/A
Transformer-XL,8,4096,N/A
Transformer-XL,16,1,6160
Transformer-XL,16,2,6162
Transformer-XL,16,4,6166
Transformer-XL,16,8,6302
Transformer-XL,16,16,6946
Transformer-XL,16,32,7920
Transformer-XL,16,64,9496
Transformer-XL,16,128,13692
Transformer-XL,16,256,21528
Transformer-XL,16,512,37634
Transformer-XL,16,1024,N/A
Transformer-XL,16,2048,N/A
Transformer-XL,16,4096,N/A
Transformer-XL,32,1,9762
Transformer-XL,32,2,9766
Transformer-XL,32,4,9770
Transformer-XL,32,8,10072
Transformer-XL,32,16,11386
Transformer-XL,32,32,13420
Transformer-XL,32,64,16494
Transformer-XL,32,128,24796
Transformer-XL,32,256,40518
Transformer-XL,32,512,N/A
Transformer-XL,32,1024,N/A
Transformer-XL,32,2048,N/A
Transformer-XL,32,4096,N/A
